customer_id,name,username,password
1,Michael Johnson,ksherebrook54433,BT$2!B*DN!7
2,John Smith,mdigan55481,lR*2*a$$*sW%#
3,Emily Davis,sskillitt30045,&tE*ro*%$u**&
4,Michael Johnson,agiorgietto58317,!3##Q0am
5,Amanda White,fidney19721,!!hgnG!W%0w!$
6,Daniel Lewis,nwickie29838,**%!!*mM2&5
7,Michael Johnson,aeschalette58829,PQ*vx2!h3
8,Amanda White,kboldero3370,*%f#!*E!S
9,Jane Doe,rhuxtable9059,pe$gT#NPv!N4*
10,Michael Johnson,bde micoli16022,**$!O$F4@m!39
11,Chris Brown,dtassel5877,3!6S!qU*E!
12,Matthew Wilson,etindley58385,*b!*J$!!!%
13,Michael Johnson,dbartolomucci59138,&*y**!X!9*kk
14,John Smith,kbrotherwood59194,SIl$s6g**%$***q
15,Elizabeth Taylor,cmounfield38683,UZ&80%#!7Z*9*
